NOT_EXISTING PUBLISH	AVG PUBLISH TIME
	
0	0,014480633735657
0	0,013212695121765
0	0,014402196407318
0	0,014412162303925
0	0,014345061779022
AVG	0,014170549869537
	
5	0,01439590215683
5	0,014441311359406
5	0,014172410964966
5	0,014491548538208
5	0,01382150888443
AVG	0,014264536380768
	
10	0,014332623481751
10	0,014331793785095
10	0,014403760433197
10	0,014402756690979
10	0,014387986660004
AVG	0,014371784210205
	
20	0,014471130371094
20	0,01445636510849
20	0,014588985443115
20	0,013834671974182
20	0,013827569484711
AVG	0,014235744476318
	
30	0,014533998966217
30	0,014175610542297
30	0,014336502552033
30	0,014287011623383
30	0,014554550647736
AVG	0,014377534866333
	
40	0,01446980714798
40	0,014568758010864
40	0,014696969985962
40	0,014439568519592
40	0,014533479213715
AVG	0,014541716575623
	
50	0,014441764354706
50	0,014527328014374
50	0,014595155715942
50	0,014676368236542
50	0,014585111141205
AVG	0,014565145492554
	
60	0,014210667610169
60	0,014420807361603
60	0,01454282283783
60	0,014598350524902
60	0,01448982000351
AVG	0,014452493667603
	
70	0,014538328647614
70	0,014607200622559
70	0,014675991535187
70	0,014669263362885
70	0,014617955684662
AVG	0,014621747970581
	
80	0,01462929725647
80	0,014645187854767
80	0,014759194850922
80	0,014826018810272
80	0,014733011722565
AVG	0,014718542098999
	
90	0,014875259399414
90	0,01474894285202
90	0,014687049388886
90	0,014691364765167
90	0,014699375629425
AVG	0,014740398406983
	
100	0,014801042079926
100	0,014771049022675
100	0,014803490638733
100	0,014710774421692
100	0,014707562923431
AVG	0,014758783817291
