SENDTIME;RCVTIME
SUB;1604168707.7855823
A;1604168707.8008118
1604168715.4525378;1604168715.4766257
1604168715.7035358;1604168715.7626064
1604168717.7199745;1604168717.753417
1604168717.9726207;1604168718.008703
1604168718.2250466;1604168718.277857
1604168719.2344084;1604168719.2900105
1604168716.709844;1604168719.3411508
1604168717.2151258;1604168719.369021
1604168719.4869256;1604168719.595277
1604168717.4675283;1604168719.6095026
1604168716.9623287;1604168719.9035506
1604168719.9914622;1604168720.055738
1604168720.2434373;1604168720.2981207
1604168720.7478867;1604168720.802105
1604168721.0000803;1604168721.0256314
1604168721.2522311;1604168721.3186455
1604168722.0092633;1604168722.0389397
1604168722.262098;1604168722.3194945
1604168719.7391527;1604168722.3700867
1604168715.9555705;1604168722.6240954
1604168722.7666883;1604168722.8197873
1604168723.2719307;1604168723.303071
1604168723.7767024;1604168723.8268907
1604168724.2811131;1604168724.3421452
1604168724.5336356;1604168724.5908535
1604168724.7861443;1604168724.8299506
1604168723.0193741;1604168725.347995
1604168725.542196;1604168725.5975451
1604168725.7946033;1604168725.853644
1604168718.729558;1604168726.8121977
1604168727.3081577;1604168727.3559692
1604168727.8121214;1604168727.8451614
1604168718.98186;1604168728.0136282
1604168726.5521877;1604168728.7776763
1604168726.8049977;1604168729.5754483
