SENDTIME;RCVTIME
SUB;1604168706.789395
A;1604168706.8041084
1604168715.4525378;1604168715.4729092
1604168716.2065625;1604168716.2426481
1604168716.458686;1604168716.4772685
1604168717.7199745;1604168717.7453537
1604168718.4774036;1604168718.5225098
1604168719.2344084;1604168719.2758777
1604168717.2151258;1604168719.3586912
1604168719.4869256;1604168719.5645049
1604168716.9623287;1604168719.9037874
1604168719.9914622;1604168720.047321
1604168720.4956505;1604168720.5430794
1604168721.0000803;1604168721.0181067
1604168721.2522311;1604168721.3010464
1604168722.262098;1604168722.3062131
1604168719.7391527;1604168722.3632748
1604168715.9555705;1604168722.6144521
1604168722.7666883;1604168722.8094988
1604168723.5245337;1604168723.5637736
1604168721.756865;1604168724.1429865
1604168725.2911808;1604168725.310592
1604168723.0193741;1604168725.3357623
1604168725.7946033;1604168725.8411086
1604168726.047373;1604168726.0873895
1604168724.029024;1604168726.1357696
1604168718.729558;1604168726.806993
1604168727.0559223;1604168727.0812962
1604168727.3081577;1604168727.3453333
1604168727.5600448;1604168727.5834892
1604168718.98186;1604168728.0144546
1604168726.5521877;1604168728.7683592
