SENDTIME;RCVTIME
SUB;1605267003.187955
A;1605267003.2035546
1605267009.9485335;1605267009.986199
1605267010.1995122;1605267010.2799134
1605267010.45126;1605267010.537486
1605267010.7046976;1605267010.7751923
1605267010.956771;1605267011.0235846
1605267011.2096012;1605267011.2546177
1605267011.4619458;1605267011.5346868
1605267011.7150278;1605267011.782899
1605267011.9675796;1605267012.025133
1605267012.219314;1605267012.2907941
1605267012.471944;1605267012.539347
1605267012.7249913;1605267012.8017051
1605267012.977503;1605267013.0141733
1605267013.2288485;1605267013.2722955
1605267013.4848642;1605267013.5710201
1605267013.7387652;1605267013.794043
1605267013.9900293;1605267014.044845
1605267014.242717;1605267014.3104162
1605267014.4952822;1605267014.5734756
1605267014.7478821;1605267014.8204448
1605267015.0006237;1605267015.0511224
1605267015.2531714;1605267015.3321009
1605267015.5057845;1605267015.567464
1605267015.759472;1605267015.8285089
1605267016.0121987;1605267016.0883713
1605267016.264758;1605267016.333827
1605267016.5173953;1605267016.5840273
1605267016.769905;1605267016.8400815
1605267017.0223176;1605267017.0877094
1605267017.274936;1605267017.3425684
1605267017.5277586;1605267017.6003246
1605267017.7807417;1605267017.8430657
1605267018.0333703;1605267018.1086233
1605267018.285862;1605267018.3489535
1605267018.53894;1605267018.6104734
1605267018.7915072;1605267018.8683226
1605267019.044395;1605267019.120806
1605267019.2968416;1605267019.3662999
1605267019.549409;1605267019.6203
1605267019.8018274;1605267019.8705058
1605267020.0546005;1605267020.1109993
1605267020.3071268;1605267020.3730884
1605267020.5598528;1605267020.631503
1605267020.8118756;1605267020.8813086
1605267021.0643036;1605267021.116865
1605267021.317013;1605267021.381782
1605267021.5694947;1605267021.642065
1605267021.821833;1605267021.8930566
1605267022.0744383;1605267022.1430414
1605267022.3267243;1605267022.388372
