SENDTIME;RCVTIME
SUB;1605190270.3553436
A;1605190270.3674955
1605190280.2880306;1605190280.290926
1605190280.5391214;1605190280.5480785
1605190280.7920377;1605190280.7952697
1605190281.043126;1605190281.0524213
1605190281.2958217;1605190281.2998736
1605190281.5468256;1605190281.5555758
1605190281.7993872;1605190281.803755
1605190282.050432;1605190282.0598657
1605190282.3029504;1605190282.312122
1605190282.5554447;1605190282.5740473
1605190282.8080592;1605190282.816774
1605190283.0601614;1605190283.069476
1605190283.3123624;1605190283.321392
1605190283.5644543;1605190283.5738637
1605190283.8166976;1605190283.8272073
1605190284.0686266;1605190284.0787687
1605190284.3208199;1605190284.3300047
1605190284.5730023;1605190284.5822053
1605190284.8251016;1605190284.8368979
1605190285.0769598;1605190285.0887692
1605190285.3290496;1605190285.3391314
1605190285.58089;1605190285.5896673
1605190285.833018;1605190285.8439057
1605190286.085459;1605190286.097527
1605190286.3378577;1605190286.3465295
1605190286.5899644;1605190286.6029
1605190286.8421037;1605190286.850593
1605190287.0942178;1605190287.108627
1605190287.3463683;1605190287.3558743
1605190287.598488;1605190287.6129274
1605190287.8506284;1605190287.8596456
1605190288.10272;1605190288.1122425
1605190288.3542178;1605190288.3633962
1605190288.6062064;1605190288.6143024
1605190288.8573196;1605190288.8665953
1605190289.1091256;1605190289.113584
1605190289.3600736;1605190289.3686113
1605190289.612149;1605190289.6162465
1605190289.8631027;1605190289.8664496
1605190290.113916;1605190290.118513
1605190290.3649383;1605190290.374017
1605190290.616969;1605190290.624102
1605190290.8689566;1605190290.8791404
1605190291.1208932;1605190291.1310844
1605190291.372833;1605190291.3832035
1605190291.6248844;1605190291.6358113
1605190291.8771417;1605190291.8857737
1605190292.1289332;1605190292.13943
1605190292.3808951;1605190292.3945005
1605190292.633082;1605190292.6422813
