SENDTIME;RCVTIME
SUB;1604168706.3252957
A;1604168706.3399985
1604168715.4525378;1604168715.4638543
1604168715.7035358;1604168715.7394216
1604168716.2065625;1604168716.2282312
1604168716.458686;1604168716.4704342
1604168717.7199745;1604168717.7377806
1604168717.9726207;1604168717.9918642
1604168718.4774036;1604168718.5118482
1604168719.2344084;1604168719.2695837
1604168717.2151258;1604168719.3526332
1604168716.709844;1604168719.3283613
1604168719.9914622;1604168720.0309184
1604168720.2434373;1604168720.2827227
1604168720.4956505;1604168720.536393
1604168720.7478867;1604168720.7874248
1604168721.2522311;1604168721.3125956
1604168722.0092633;1604168722.029077
1604168719.7391527;1604168722.3543358
1604168722.7666883;1604168722.8075423
1604168723.2719307;1604168723.2951832
1604168723.5245337;1604168723.5534418
1604168723.7767024;1604168723.8146203
1604168721.5046825;1604168723.8491883
1604168724.2811131;1604168724.322059
1604168725.0385141;1604168725.0779963
1604168724.029024;1604168726.1306486
1604168726.29994;1604168726.34029
1604168718.729558;1604168726.799916
1604168727.3081577;1604168727.339873
1604168727.5600448;1604168727.578125
1604168727.8121214;1604168727.8289456
1604168718.98186;1604168728.0001557
1604168726.5521877;1604168728.7638097
1604168722.5145986;1604168729.4239688
1604168726.8049977;1604168729.5569293
