SENDTIME;RCVTIME
SUB;1604168707.6502724
A;1604168707.6652813
1604168716.458686;1604168716.4841232
1604168717.7199745;1604168717.747809
1604168718.4774036;1604168718.5303373
1604168719.2344084;1604168719.2908547
1604168719.4869256;1604168719.5907054
1604168717.4675283;1604168719.6061323
1604168716.9623287;1604168719.9010537
1604168720.2434373;1604168720.299026
1604168720.4956505;1604168720.5509562
1604168721.0000803;1604168721.0245595
1604168721.2522311;1604168721.3066115
1604168719.7391527;1604168722.3661165
1604168715.9555705;1604168722.620016
1604168722.7666883;1604168722.821134
1604168723.2719307;1604168723.299681
1604168721.5046825;1604168723.8650699
1604168721.756865;1604168724.1490026
1604168724.2811131;1604168724.3403018
1604168724.5336356;1604168724.5839446
1604168724.7861443;1604168724.827464
1604168725.0385141;1604168725.0940666
1604168723.0193741;1604168725.3441741
1604168725.542196;1604168725.5981092
1604168725.7946033;1604168725.8515942
1604168724.029024;1604168726.1471932
1604168726.29994;1604168726.3586519
1604168718.729558;1604168726.8107831
1604168727.3081577;1604168727.3507636
1604168727.8121214;1604168727.8415186
1604168718.98186;1604168728.021376
1604168726.5521877;1604168728.7820084
1604168726.8049977;1604168729.5778458
