SENDTIME;RCVTIME
SUB;1604168706.226233
A;1604168706.2413387
1604168715.4525378;1604168715.4660351
1604168715.7035358;1604168715.7343614
1604168716.2065625;1604168716.2249172
1604168716.458686;1604168716.4769502
1604168717.7199745;1604168717.7357776
1604168717.9726207;1604168717.9965003
1604168718.2250466;1604168718.2657945
1604168718.4774036;1604168718.510423
1604168719.2344084;1604168719.2632878
1604168717.2151258;1604168719.3486438
1604168716.9623287;1604168719.8803563
1604168719.9914622;1604168720.0340204
1604168720.2434373;1604168720.2823117
1604168720.4956505;1604168720.5328605
1604168721.2522311;1604168721.297954
1604168722.0092633;1604168722.0249572
1604168722.262098;1604168722.2953165
1604168719.7391527;1604168722.3591647
1604168715.9555705;1604168722.6031415
1604168722.7666883;1604168722.8065984
1604168723.2719307;1604168723.2900016
1604168721.5046825;1604168723.8492482
1604168721.756865;1604168724.1376822
1604168724.2811131;1604168724.3174207
1604168724.5336356;1604168724.5734386
1604168724.7861443;1604168724.818968
1604168725.0385141;1604168725.0826454
1604168725.2911808;1604168725.3033724
1604168723.0193741;1604168725.3271813
1604168725.542196;1604168725.5791297
1604168726.047373;1604168726.075347
1604168726.29994;1604168726.3444855
1604168718.729558;1604168726.8012831
1604168727.3081577;1604168727.3453667
1604168727.5600448;1604168727.5779116
1604168727.8121214;1604168727.830364
1604168718.98186;1604168727.9968584
1604168726.5521877;1604168728.762387
1604168722.5145986;1604168729.4206247
1604168726.8049977;1604168729.5737538
