SENDTIME;RCVTIME
SUB;1605267003.0867033
A;1605267003.102311
1605267009.9485335;1605267009.984701
1605267010.1995122;1605267010.2844296
1605267010.45126;1605267010.5343602
1605267010.7046976;1605267010.766057
1605267010.956771;1605267011.0215166
1605267011.2096012;1605267011.2579598
1605267011.4619458;1605267011.5334575
1605267011.7150278;1605267011.7836833
1605267011.9675796;1605267012.0286746
1605267012.219314;1605267012.2911928
1605267012.471944;1605267012.528383
1605267012.7249913;1605267012.7992988
1605267012.977503;1605267013.0153491
1605267013.2288485;1605267013.2686677
1605267013.4848642;1605267013.5681887
1605267013.7387652;1605267013.7926104
1605267013.9900293;1605267014.0525515
1605267014.242717;1605267014.309218
1605267014.4952822;1605267014.5686598
1605267014.7478821;1605267014.8178055
1605267015.0006237;1605267015.0463054
1605267015.2531714;1605267015.3308325
1605267015.5057845;1605267015.567756
1605267015.759472;1605267015.8303995
1605267016.0121987;1605267016.085729
1605267016.264758;1605267016.331716
1605267016.5173953;1605267016.582114
1605267016.769905;1605267016.83537
1605267017.0223176;1605267017.089436
1605267017.274936;1605267017.3475556
1605267017.5277586;1605267017.5996993
1605267017.7807417;1605267017.8407032
1605267018.0333703;1605267018.1064343
1605267018.285862;1605267018.3401377
1605267018.53894;1605267018.6100245
1605267018.7915072;1605267018.8650646
1605267019.044395;1605267019.1224837
1605267019.2968416;1605267019.3648765
1605267019.549409;1605267019.623017
1605267019.8018274;1605267019.874071
1605267020.0546005;1605267020.1182132
1605267020.3071268;1605267020.3730683
1605267020.5598528;1605267020.62283
1605267020.8118756;1605267020.8754597
1605267021.0643036;1605267021.111465
1605267021.317013;1605267021.382342
1605267021.5694947;1605267021.6400678
1605267021.821833;1605267021.8927498
1605267022.0744383;1605267022.1419168
1605267022.3267243;1605267022.382642
