SENDTIME;RCVTIME
SUB;1604168706.3583462
A;1604168706.3732457
1604168715.4525378;1604168715.4662812
1604168715.7035358;1604168715.739567
1604168716.2065625;1604168716.22745
1604168716.458686;1604168716.4743037
1604168717.7199745;1604168717.7384462
1604168717.9726207;1604168717.9951427
1604168718.2250466;1604168718.265345
1604168718.4774036;1604168718.5210447
1604168719.2344084;1604168719.2689233
1604168716.709844;1604168719.325133
1604168717.4675283;1604168719.5784042
1604168716.9623287;1604168719.8839147
1604168719.9914622;1604168720.0434003
1604168720.2434373;1604168720.2839925
1604168721.0000803;1604168721.0149891
1604168721.2522311;1604168721.3044722
1604168722.0092633;1604168722.0284164
1604168722.262098;1604168722.2980456
1604168719.7391527;1604168722.3577542
1604168715.9555705;1604168722.6087298
1604168722.7666883;1604168722.812697
1604168723.5245337;1604168723.5523512
1604168723.7767024;1604168723.818333
1604168724.2811131;1604168724.3273785
1604168724.5336356;1604168724.5749388
1604168724.7861443;1604168724.8181534
1604168725.0385141;1604168725.0758512
1604168725.2911808;1604168725.3014758
1604168723.0193741;1604168725.331112
1604168725.7946033;1604168725.8340898
1604168726.047373;1604168726.0809095
1604168726.29994;1604168726.351764
1604168718.729558;1604168726.8049338
1604168727.0559223;1604168727.074074
1604168727.3081577;1604168727.3463721
1604168727.5600448;1604168727.5789683
1604168718.98186;1604168728.0098803
1604168726.5521877;1604168728.765003
1604168722.5145986;1604168729.4248238
1604168726.8049977;1604168729.554781
