N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES	MQTT DATA
											
QOS SUBSCRIBE= 0											
QOS PUBLISH= -1											
											
1	23	12,0266025066376	0,001451336819193	0	0,200713396072388	27	0	0,034289763587834	0	4055	6827
1	21	12,0265867710114	0,001457361947922	0	0,200705528259277	29	0	0,034261314521772	0	3847	6629
1	27	12,2779204845428	0,001406192779541	0	0,200857162475586	23	0	0,034232764045922	0	4678	7817
1	25	11,2748794555664	0,001505975723267	0	0,20074725151062	25	0	0,034203964457785	0	4469	7761
1	22	12,0276439189911	0,00157642364502	0	0,200536966323853	28	0	0,034146953901572	0	4059	7169
1	25	11,2759971618652	0,001498355865479	0	0,200703382492065	25	0	0,034175509443612	0	4337	7367
1	23	11,5269150733948	0,001599467318991	0	0,200734376907349	27	0	0,034118298454008	0	4606	8545
1	26	12,0268261432648	0,001474279623765	0	0,200830459594727	24	0	0,034089691060287	0	4412	7371
1	23	12,026050567627	0,001284816990728	0	0,200556039810181	27	0	0,03406142578294	0	3917	6571
1	26	12,276519536972	0,001284956932068	0	0,200934886932373	24	0	0,034033501039899	0	4269	6975
AVG			0,001453916764597								
											
10	192	12,0124344825745	0,001298262427251	0	0,201721668243408	308	0	0,034024105116948	0	17158	32466
10	229	12,0152108669281	0,001704905230926	0	0,201620244979858	271	0	0,034052014436945	0	20313	41384
10	220	12,2610313892365	0,001148781993172	0	0,201494812965393	280	0	0,034080116835254	0	19364	36951
10	277	12,2616035938263	0,001170025835829	0	0,201444602012634	223	0	0,034108708155493	0	23837	45523
10	242	12,0113377571106	0,001295872956268	0	0,201284146308899	258	0	0,034166034957011	0	21144	41156
10	248	12,2628197669983	0,001128693742137	0	0,202224016189575	252	0	0,034137347489064	0	21493	40089
10	242	12,2607579231262	0,001149957830256	0	0,20168137550354	258	0	0,034194474189622	0	21041	39033
10	225	11,5107238292694	0,001370734108819	0	0,202019381523132	275	0	0,034223109298393	0	20178	37889
10	246	12,0129561424255	0,00122341295568	0	0,201549291610718	254	0	0,03425179240654	0	21458	41351
10	227	11,5133030414581	0,001429976870835	0	0,201421785354614	273	0	0,034280225654758	0	19919	38062
AVG			0,001292062395117								
											
100	2786	12,281543970108	0,009569673596401	0	0,144394710063934	2214	0	0,03427069302629	0	215185	430138
100	2118	12,0298388004303	0,009223205509672	0	0,139651589393616	2882	0	0,034242275582726	0	168989	331096
100	2669	12,0305213928223	0,008726856868425	0	0,233311741352081	2331	0	0,034213459995232	0	208245	411200
