N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES	MQTT DATA
											
QOS SUBSCRIBE= 0											
QOS PUBLISH= -1											
100	3862	11,0287520885468	0,00974653854943	0	0,726324224472046	1138	0	0,03236301299639	0	302063	451829
100	3258	11,7798163890839	0,009676873208263	0	0,236466007232666	1742	0	0,032329071296599	0	258999	448734
			0,010262264479126								
AVG											
											
											
QOS SUBSCRIBE= 0											
QOS PUBLISH= 1											
1	38	13,8090171813965	0,373122892881695	1,34680006027222	0,200792551040649	12	10	0,031786752620405	0	10557	17471
1	39	12,2940111160278	0,260132991350614	1,78576780319214	0,20072340965271	11	17	0,031679068340065	0	11722	19491
1	42	13,0560562610626	0,625341704913548	2,22497789859772	0,200787305831909	8	19	0,03173281912473	0	11910	19347
1	39	14,3075573444366	0,673345853120853	1,35477993488312	0,200765609741211	11	7	0,031625499339522	0	10293	16633
1	36	13,5562677383423	0,785333295663198	1,79780246734619	0,200741291046143	14	15	0,031572111202472	0	11716	19891
1	39	15,0640530586243	0,621328213276007	1,62850043296814	0,200733423233032	11	16	0,03146612299836	0	11596	19343
1	39	12,5531435012817	0,776629857527904	2,26524758338928	0,200754404067993	11	21	0,031413271153621	0	11730	18777
1	38	12,8028755187988	0,479028965297498	1,49983696937561	0,200864315032959	12	12	0,031360596555604	0	11000	18283
1	40	18,3382301330566	0,505471843481064	1,87854846954346	0,200733184814453	10	16	0,031308098314167	0	11661	19337
1	42	13,0509393215179	0,193652754738217	1,85406394004822	0,200778484344482	8	24	0,031518903014492	0	12871	20557
AVG			0,52933883722506								
											
10	416	14,2865211963654	0,726709438631168	1,16738937854767	0,201285529136658	84	61	0,031290596877439	0	43592	74377
10	414	15,297128200531	0,438708210336989	0,736915698051453	0,201422667503357	86	47	0,031343036392389	0	42388	71009
10	407	14,5456001758575	0,658545390979664	1,40869022369385	0,201159644126892	93	101	0,031395651967835	0	46230	81583
10	415	14,0270195007324	0,403631090256105	0,849516053199768	0,201528334617615	85	62	0,031448444491926	0	43692	74487
10	437	18,3000984191895	0,318937914322388	1,04668291568756	0,201177716255188	63	119	0,031501165168596	0	49549	82540
10	427	13,7942340373993	0,453567849947641	1,04666919231415	0,202014017105102	73	98	0,03155431343515	0	47287	80365
10	404	15,7879385948181	0,464378107892405	0,805301632881164	0,201185202598572	96	64	0,031607641346623	0	43488	74509
10	408	16,0377962589264	0,691675645463607	1,25184330940247	0,202739191055298	92	75	0,031714839759962	0	44187	75812
10	416	14,2865610122681	0,683091132686688	1,04667203426361	0,201626038551331	84	67	0,031661149815378	0	44093	73390
10	418	14,5359053611755	0,304631639895827	0,942164874076843	0,202279615402222	82	92	0,031768712105167	0	46232	79128
AVG			0,514387642041248								
											
100	4176	16,3094272613525	0,712309671144833	1,31674877166748	0,186603405475617	824	654	0,031750692056039	0	370384	642532
100	4230	18,3451426029205	0,942696604717426	1,84389895915985	0,154556200504303	770	1210	0,031696880757362	0	413161	722920
100	4075	18,3423585891724	0,80457835683062	1,35694680690765	0,174613618850708	925	618	0,031643251549621	0	361997	633387
100	4210	17,8509607315063	0,613671378115294	1,43330502986908	0,189318654537201	790	724	0,031589803510114	0	377405	651956
100	4184	15,8046624660492	0,751827830110408	1,44559368133545	0,15605015039444	816	913	0,031536535722366	0	389251	682426
100	4078	15,3102841377258	0,504812479545346	1,12379923820496	0,18647828578949	922	713	0,031483447276072	0	369272	652927
100	4156	15,3070981502533	0,926314306844302	1,46573912143707	0,145942595005035	844	780	0,031430785838849	0	378299	662622
100	4163	19,0725312232971	0,595144642793929	1,22819478988647	0,195498027801514	837	1151	0,031378052535591	0	404815	712600
100	4219	15,5646197795868	0,615757118726008	1,1517355298996	0,156244165897369	781	753	0,031325495883568	0	380735	662540
100	4050	15,8152770996094	0,971435564064685	1,66684378147125	0,150090734958649	950	1052	0,031273114996619	0	389995	680292
AVG			0,743854795289285								
