N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES	MQTT DATA
											
QOS SUBSCRIBE= 0											
QOS PUBLISH= -1											
1	40	12,2777533531189	0,001446932554245	0	0,200754404067993	10	0	0,035174705108483	0	5983	9143
1	44	12,0277898311615	0,001537924463099	0	0,200737953186035	6	0	0,035144456128472	0	6399	9541
1	49	12,2793595790863	0,00150694165911	0	0,200726985931396	1	0	0,035114259129826	0	7000	10173
1	44	11,7773730754852	0,001477544957941	0	0,200729131698608	6	0	0,035053708962756	0	6529	9927
1	41	12,0276474952698	0,001497989747582	0	0,200727701187134	9	0	0,03508395792096	0	6194	9399
1	44	12,27792096138	0,001485190608285	0	0,200716018676758	6	0	0,035023512120179	0	6480	9751
1	44	12,2782731056213	0,00149402293292	0	0,200865268707275	6	0	0,034963429230022	0	6472	9603
1	48	12,2779653072357	0,001521612207095	0	0,20072340965271	2	0	0,034933542383619	0	6939	10181
1	46	12,2783575057983	0,001446817232215	0	0,200758457183838	4	0	0,034903706588313	0	6796	10315
1	45	12,2795114517212	0,001535998450385	0	0,200691938400268	5	0	0,034993522511494	0	6474	9407
AVG			0,001495097481288								
											
10	435	12,2619323730469	0,001150523108998	0	0,201877355575562	65	0	0,034983433942015	0	35297	54397
10	444	12,2631297111511	0,001281655049539	0	0,201903438568115	56	0	0,034893669732485	0	36290	55302
10	439	12,2616200447083	0,001205636048371	0	0,202505421638489	61	0	0,034923642997254	0	35385	53047
10	440	12,2628753185272	0,001269888336008	0	0,20226628780365	60	0	0,034953358002263	0	35569	54320
10	438	12,261335849762	0,001207479603214	0	0,202667474746704	62	0	0,035013406253887	0	35443	54191
10	471	12,2626118659973	0,001213062594144	0	0,201827549934387	29	0	0,035073817146926	0	37905	56424
10	457	12,262261390686	0,001371049776641	0	0,203096699714661	43	0	0,035043585665162	0	36872	55335
10	470	12,2623507976532	0,00133693471868	0	0,202545738220215	30	0	0,035104100834056	0	37805	56531
10	465	12,261990070343	0,00132133524905	0	0,202497267723083	35	0	0,035134280356184	0	37408	56476
10	476	12,2630250453949	0,001423754611937	0	0,202389192581177	24	0	0,035164668589698	0	38190	56358
AVG			0,001278131909658								
											
100	4373	12,2806525230408	0,009990730248571	0	0,146917626857758	627	0	0,035154481111055	0	325897	491041
100	4601	12,2807319164276	0,009929682632758	0	0,193475244045258	399	0	0,035124266889924	0	340472	514849
100	4726	12,2824177742004	0,00906226789351	0	0,22654128074646	274	0	0,035093948414026	0	349905	525764
