SENDTIME;RCVTIME
SUB;1604089152.1508596
1604089159.5393143;1604089159.550074
1604089159.7899528;1604089159.8027687
1604089160.040291;1604089160.0495477
1604089160.2905893;1604089160.3047042
1604089160.5409806;1604089160.550532
1604089160.7913089;1604089160.806151
1604089161.0416043;1604089161.0466213
1604089161.2919402;1604089161.3010309
1604089161.5422273;1604089161.5546215
1604089161.7927592;1604089161.8119507
1604089162.043161;1604089162.0511758
1604089162.2934544;1604089162.302322
1604089162.543864;1604089162.5537245
1604089162.7942333;1604089162.8023546
1604089163.0446086;1604089163.0499318
1604089163.294985;1604089163.305311
1604089163.5454507;1604089163.55359
1604089163.7959363;1604089163.806102
1604089164.0462127;1604089164.0520086
1604089164.2964554;1604089164.3207657
1604089164.5470073;1604089164.552588
1604089164.7973979;1604089164.8044615
1604089165.0477586;1604089165.0529573
1604089165.298132;1604089165.313188
1604089165.5483167;1604089165.5591836
1604089165.79868;1604089165.8075852
1604089166.04899;1604089166.0540326
1604089166.2992473;1604089166.3070662
1604089166.5496855;1604089166.5615191
1604089166.8000822;1604089166.8073618
1604089167.0503068;1604089167.0586646
