SENDTIME;RCVTIME
SUB;1604089149.8732474
SUBACK;1604089150.0754018
1604089159.5393143;1604089159.547195
1604089159.7899528;1604089159.8002434
1604089160.040291;1604089160.0467112
1604089160.2905893;1604089160.3124206
1604089160.5409806;1604089160.5499802
1604089160.7913089;1604089160.800138
1604089161.0416043;1604089161.0532393
1604089161.2919402;1604089161.308104
1604089161.5422273;1604089161.5584688
1604089161.7927592;1604089161.79759
1604089162.043161;1604089162.0507996
1604089162.2934544;1604089162.297889
1604089162.543864;1604089162.5494616
1604089162.7942333;1604089162.7997866
1604089163.0446086;1604089163.0548866
1604089163.294985;1604089163.3056831
1604089163.5454507;1604089163.5530329
1604089163.7959363;1604089163.801284
1604089164.0462127;1604089164.055246
1604089164.2964554;1604089164.3054547
1604089164.5470073;1604089164.5521166
1604089164.7973979;1604089164.8041232
1604089165.0477586;1604089165.0596375
1604089165.298132;1604089165.304628
1604089165.5483167;1604089165.5570233
1604089165.79868;1604089165.80703
1604089166.04899;1604089166.0596068
1604089166.2992473;1604089166.3037202
1604089166.5496855;1604089166.5577085
1604089166.8000822;1604089166.8044538
1604089167.0503068;1604089167.0577128
