SENDTIME;RCVTIME
SUB;1604089149.6599011
SUBACK;1604089149.8616712
1604089159.5393143;1604089159.5595603
1604089159.7899528;1604089159.806855
1604089160.040291;1604089160.0514534
1604089160.2905893;1604089160.3026938
1604089160.5409806;1604089160.5479028
1604089160.7913089;1604089160.8006124
1604089161.0416043;1604089161.0468924
1604089161.2919402;1604089161.2986248
1604089161.5422273;1604089161.5485213
1604089161.7927592;1604089161.7973096
1604089162.043161;1604089162.051656
1604089162.2934544;1604089162.3014631
1604089162.543864;1604089162.5495338
1604089162.7942333;1604089162.8010082
1604089163.0446086;1604089163.0541377
1604089163.294985;1604089163.3102345
1604089163.5454507;1604089163.5584562
1604089163.7959363;1604089163.8044353
1604089164.0462127;1604089164.052138
1604089164.2964554;1604089164.3059528
1604089164.5470073;1604089164.5551534
1604089164.7973979;1604089164.8080025
1604089165.0477586;1604089165.054198
1604089165.298132;1604089165.3052194
1604089165.5483167;1604089165.5522964
1604089165.79868;1604089165.8127856
1604089166.04899;1604089166.0600917
1604089166.2992473;1604089166.3076985
1604089166.5496855;1604089166.5556612
1604089166.8000822;1604089166.8086848
1604089167.0503068;1604089167.0553339
