N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES	MQTT DATA
											
QOS SUBSCRIBE = 0											
QOS PUBLISH = -1											
											
											
1	25	12,2793114185333	0,001517677307129	0	8,23257613182068	25	0	0,033821484279569	0	4293	7397
1	23	12,2778551578522	0,00144945020261	0	12,2487213611603	27	0	0,033793699153599	0	4184	7435
1	20	11,5266580581665	0,0015216588974	0	4,21649384498596	30	0	0,033765959642394	0	4017	7729
1	27	12,2790441513062	0,001526655974212	0	0,200439214706421	23	0	0,033738265633717	0	4541	7563
1	30	12,0279269218445	0,001515634854635	0	0,200756072998047	20	0	0,0337106170157	0	4819	7765
AVG	25	12,0781591415405	0,001506215447197		5,01979732513428	25		0,033766005144996		4370,8	7577,8
											
10	233	12,0127537250519	0,001123878157672	0	5,82094085216522	267	0	0,033174067094553	0	18917	36965
10	245	12,2659795284271	0,001577089863585	0	1,00399525165558	255	0	0,033655612853158	0	19535	39548
10	251	12,2637150287628	0,001181195946734	0	6,22203497886658	249	0	0,03362809948241	0	22797	46042
10	275	11,7600693702698	0,001015621747389	0	3,81451213359833	225	0	0,033224267149083	0	22647	43429
10	240	11,5099444389343	0,00111086047998	0	9,03363523483276	260	0	0,033573207473256	0	20236	39404
AVG	248,8	11,9624924182892	0,001201729239072		5,17902369022369	251,2		0,033451050810492		20826,4	41077,6
											
100	2551	12,2864007949829	0,011040884828544	0	5,71007900527029	2449	0	0,033545828615102	0	201234	406082
100	2426	12,2860436439514	0,01217578270816	0	4,98003699541092	2574	0	0,033275245218134	0	186622	376525
100	2570	12,2809896469116	0,008556197414891	0	3,96650465088661	2430	0	0,033491204644955	0	195856	393261
100	2475	12,3043293952942	0,011464038527884	0	4,34280162869078	2525	0	0,033436913587131	0	198900	399783
100	2381	11,5496640205383	0,010569287331335	0	3,79173746585846	2619	0	0,033248349983606	0	187079	375104
AVG	2480,6	12,1414855003357	0,010761238162163		4,55823194922341	2519,4		0,033399508409786		193938,2	390151
											
											
QOS SUBSCRIBE = 0											
QOS PUBLISH = 0											
											
											
1	23	12,0283360481262	0,001579253569893	0	4,21658778190613	27	0	0,032197012491344	0	4283	7269
1	24	11,7769429683685	0,00159098704656	0	0,200779914855957	26	0	0,03206000459768	0	4197	7150
1	25	11,7775971889496	0,00149995803833	0	4,21665549278259	25	0	0,033276425892086	0	4891	8624
1	24	12,2754380702972	0,001390755176544	0	12,247969865799	26	0	0,033229762956704	0	4594	8056
1	24	10,2714986801147	0,001405070225398	0	0,200764894485474	26	0	0,033183230707259	0	4340	7411
