N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES	MQTT DATA
											
											
											
QOS SUBSCRIBE = 0											
QOS PUBLISH = -1											
											
1	50	12,2794008255005	0,001509413719177	0	0,200738906860352	0	0	0,01303247852015	0	7083	10187
1	50	12,2783069610596	0,001433854103088	0	0,20077109336853	0	0	0,013011743865635	0	7095	10339
1	50	12,2779376506805	0,001538395881653	0	0,200824975967407	0	0	0,032567789298344	0	7087	10331
1	50	12,2775177955627	0,001522483825684	0	0,200771570205688	0	0	0,032548149993773	0	7091	10195
1	50	12,2778782844543	0,001429390907288	0	0,200544357299805	0	0	0,032534855571663	0	7073	10317
AVG		12,2782083034515	0,001486707687378		0,200730180740356			0,024739003449913		7085,8	10273,8
											
10	500	12,26225233078	0,001166159629822	0	0,201130819320679	0	0	0,013025523984665	0	39907	57587
10	500	12,2624807357788	0,001136131763458	0	0,200896620750427	0	0	0,013004811435972	0	39973	57513
10	500	12,2617263793945	0,001151832103729	0	0,202830624580383	0	0	0,032413440590744	0	39951	57631
10	500	12,2624294757843	0,001291038036346	0	0,200677394866943	0	0	0,032266606068392	0	39885	57425
10	500	12,2617554664612	0,001168739795685	0	0,183881711959839	0	0	0,03225322206311	0	39907	57447
AVG		12,2621288776398	0,001182780265808		0,197883434295654			0,024592720828577		39924,6	57520,6											
											
											
100	5000	12,2844877243042	0,009449707269669	0	0,344850265979767	0	0	0,012991181455674	0	368531	530431
100	5000	12,2813770771027	0,00985623960495	0	0,230209360122681	0	0	0,032507652108997	0	368246	530380
100	5000	12,2810781002045	0,010136298894882	0	0,152488222122192	0	0	0,032494067429818	0	368127	530167
100	5000	12,2866051197052	0,010434204387665	0	0,171798832416534	0	0	0,032293407430116	0	368228	530268
100	5000	12,2834649085999	0,009944871807098	0	0,191660006046295	0	0	0,032521248151524	0	367934	530021
AVG		12,2834025859833	0,009964264392853		0,218201337337494			0,028561511315226		368213,2	530253,4

QOS SUBSCRIBE = 0											
QOS PUBLISH = 0											
											
1	50	12,2787296772003	0,00146800994873	0	0,200699329376221	0	0	0,012963901099799	0	7298	10489
1	50	12,2759137153626	0,001224184036255	0	0,200773954391479	0	0	0,031672930441949	0	7300	10491
1	50	12,2774338722229	0,001496658325195	0	0,200728416442871	0	0	0,031660665953612	0	7298	10489
1	50	12,2784826755524	0,001507816314697	0	0,200942277908325	0	0	0,031646249353857	0	7300	10491
1	50	12,2774188518524	0,001501994132996	0	0,20085597038269	0	0	0,03163235109718	0	7296	10487
AVG	50	12,2775957584381	0,001439732551575		0,200799989700317			0,027915219589279		7298,4	10489,4
											
10	500	12,2619817256928	0,001313332557678	0	0,201335430145264	0	0	0,012957125357289	0	42007	59017
10	500	12,2623021602631	0,001392948150635	0	0,203016471862793	0	0	0,032546509301862	0	42018	59168
10	500	12,262645483017	0,001354019641876	0	0,203247141838074	0	0	0,032555466145535	0	42018	59168
10	500	12,2617800235748	0,001271589756012	0	0,184092473983765	0	0	0,03257478994951	0	42007	59157
