N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES
QOS SERVER = NON										
QOS CLIENT = NON										
										
										
1	24	12,3110823631287	0,005153745412827	0	0,012287616729736	26	0	0,235714285714286	0	4384
1	24	11,8084197044373	0,005503296852112	0	2,16372895240784	26	0	0,279354838709678	0	4455
1	21	12,3066387176514	0,004709482192993	0	0,011921882629395	29	0	0,311764705882353	0	4575
1	23	12,3033354282379	0,003988701364268	0	2,71106696128845	27	0	0,278289473684212	0	4233
1	21	12,3124113082886	0,005106960024152	0	0,012063980102539	29	0	0,26709677419355	0	4065
AVG			0,00489243716927		0,982213878631592	27,4		0,274444015636816		4342,4
										
10	261	12,0696909427643	0,011669475676721	0	1,54646139144897	239	0	0,656862745098039	0,050980392156863	21231
10	297	12,3222320079803	0,010890556905247	0	4,26219711303711	203	0	0,599354838709677	0	24599
10	221	11,3126668930054	0,009543343037138	0	5,74302129745483	279	0	0,494117647058824	0	18594
10	254	12,3246970176697	0,010594029821236	0	2,4769567489624	246	0	0,549677419354838	0,049032258064516	20728
10	277	12,0619451999664	0,009617098513602	0	1,03503835201263	223	0	0,566013071895424	0,056209150326797	22354
AVG			0,010462900790789		3,01273498058319	238		0,57320514442336	0,031244360109635	21501,2
										
100	2729	12,3332121372223	0,034754836198175	0	2,99409233692081	2271	0	2,3948051948052	0,087662337662338	194592
100	2170	12,1215434074402	0,042453131399055	0	3,29116786936278	2830	0	2,20592105263158	0,0875	154690
100	2508	12,3798897266388	0,039366617576589	0	3,15713200039334	2492	40	2,51907894736842	0,0875	193069
100	2496	12,3417007923126	0,033539863111738	0	3,79371029452274	2504	0	2,18193548387097	0,087741935483871	178511
100	2056	11,8697965145111	0,041988762831678	0	3,24604732432264	2944	0	2,25986842105263	0,0875	148782
AVG			0,038420642223447		3,29642996510446	2608,2		2,31232181994576	0,087580854629242	173928,8
										
										
QOS SERVER = NON										
QOS CLIENT = CON										
										
1	33	12,3692872524261	0,612201582301747	2,02692512248425	2,2317156791687	17	0	0,388888888888889	0	10120
1	33	19,9717116355896	1,42856640526743	3,72618743419647	7,27762675285339	17	0	0,423225806451613	0	10534
1	35	24,9635157585144	2,62287724358695	3,6470088374858	0,012259244918823	15	0	0,441830065359477	0	10116
1	35	12,7937641143799	0,72919876234872	2,52380606174469	2,21547627449036	15	0	0,376623376623376	0	10103
1	33	14,2375156879425	1,10238079591231	1,99832334810374	2,5019211769104	17	0	0,389610389610389	0	9928
AVG			1,29904495788343	2,78445016080299	2,84779982566833	16,2		0,404035705386749		10160,2
										
10	347	14,4014949798584	0,851464468808401	2,27735558986664	3,21694910526276	153	0	0,698039215686274	0,04640522875817	33009
10	367	19,3718860149384	1,69945494841772	2,32334790229797	1,91788495911492	133	1	0,722875816993464	0,056862745098039	33241
10	341	29,6922523975372	1,28889961621504	1,89012461779069	1,84009392261505	159	4	0,746710526315789	0,057894736842105	32462
10	353	29,2189993858337	1,01634050612601	3,01581161499023	1,20309488773346	147	3	0,890131578947369	0,058552631578947	32935
10	356	20,6794047355652	1,401508348359	2,97332607746124	5,63529994487763	144	2	0,752287581699346	0,037254901960784	33416
AVG			1,25153357758524	2,49599316048136	2,76266456392076	147,2		0,762008943928449	0,051394048847609	33012,6
										
100	3001	27,6175546646118	2,10841811122614	2,74704747676849	2,8222353408734	1999	403	3,89342105263158	0,0875	249586
100	3236	19,0789694786072	0,840565405992611	2,00522440306994	2,96544401380751	1764	192	3,20921052631579	0,0875	248790
100	3228	25,8742842674255	1,73785399550506	3,1959672164917	2,6048807601134	1772	195	3,20522875816993	0,06078431372549	248703
100	3180	26,9947125911713	2,48151584742004	3,127048672462	3,03721129635106	1820	169	3,16381578947368	0,0875	254158
100	3300	19,145485162735	1,32402226873749	2,87151681423187	4,03408520945003	1700	158	3,1205298013245	0,087417218543046	256028
AVG			1,69847512577627	2,7893609166048	3,09277132411908	1811		3,3184411855831	0,082140306453707	251453
